T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
646,Rwanda,2000,Net imports [Imports - Exports - Bunkers] (petajoules),8,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2005,Net imports [Imports - Exports - Bunkers] (petajoules),7,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2010,Net imports [Imports - Exports - Bunkers] (petajoules),8,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2015,Net imports [Imports - Exports - Bunkers] (petajoules),13,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2018,Net imports [Imports - Exports - Bunkers] (petajoules),16,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2019,Net imports [Imports - Exports - Bunkers] (petajoules),24,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2020,Net imports [Imports - Exports - Bunkers] (petajoules),16,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2005,Changes in stocks (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2018,Changes in stocks (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2019,Changes in stocks (petajoules),7,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,1995,Total supply (petajoules),54,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2000,Total supply (petajoules),54,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2005,Total supply (petajoules),71,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2010,Total supply (petajoules),84,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2015,Total supply (petajoules),98,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2018,Total supply (petajoules),103,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2019,Total supply (petajoules),105,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2020,Total supply (petajoules),105,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,1995,Supply per capita (gigajoules),10,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2000,Supply per capita (gigajoules),7,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2005,Supply per capita (gigajoules),8,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2010,Supply per capita (gigajoules),8,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2015,Supply per capita (gigajoules),8,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2018,Supply per capita (gigajoules),8,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2019,Supply per capita (gigajoules),8,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
646,Rwanda,2020,Supply per capita (gigajoules),8,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,1995,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2000,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2005,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2010,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2015,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2018,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2019,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2020,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,1995,Net imports [Imports - Exports - Bunkers] (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2000,Net imports [Imports - Exports - Bunkers] (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2005,Net imports [Imports - Exports - Bunkers] (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2010,Net imports [Imports - Exports - Bunkers] (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2015,Net imports [Imports - Exports - Bunkers] (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2018,Net imports [Imports - Exports - Bunkers] (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2019,Net imports [Imports - Exports - Bunkers] (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2020,Net imports [Imports - Exports - Bunkers] (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,1995,Total supply (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2000,Total supply (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2005,Total supply (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2010,Total supply (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2015,Total supply (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2018,Total supply (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2019,Total supply (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2020,Total supply (petajoules),0,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,1995,Supply per capita (gigajoules),29,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2000,Supply per capita (gigajoules),30,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2005,Supply per capita (gigajoules),28,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2010,Supply per capita (gigajoules),30,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2015,Supply per capita (gigajoules),29,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2018,Supply per capita (gigajoules),35,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2019,Supply per capita (gigajoules),38,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
654,Saint Helena,2020,Supply per capita (gigajoules),45,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
659,Saint Kitts and Nevis,1995,Primary energy production (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
659,Saint Kitts and Nevis,2000,Primary energy production (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
659,Saint Kitts and Nevis,2005,Primary energy production (petajoules),1,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
659,Saint Kitts and Nevis,2010,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
659,Saint Kitts and Nevis,2015,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
659,Saint Kitts and Nevis,2018,Primary energy production (petajoules),0,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2020, last accessed April 2023."
